epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.187,0.79671,1.57137,1.10401,0.95684,0.92308,0.96919,0.82987,0.52456,25.0182,0.72861,0.000655556,0.000655556,0.000655556
2,387.644,0.73143,0.76161,1.04102,0.98138,0.98866,0.99375,0.8254,0.60267,20.2149,0.83194,0.00129604,0.00129604,0.00129604
3,579.742,0.74101,0.6699,1.03496,0.91286,0.90414,0.94921,0.74352,0.69213,21.197,0.909,0.00191013,0.00191013,0.00191013
4,771.281,0.73055,0.6098,1.0315,0.9669,0.98665,0.99236,0.83103,0.60571,7.13154,0.7882,0.0018812,0.0018812,0.0018812
5,962.881,0.70081,0.55818,1.02617,0.93448,0.89306,0.95022,0.73708,0.65571,22.6161,0.8265,0.0018416,0.0018416,0.0018416
6,1153.16,0.69045,0.50206,1.01546,0.97565,0.97731,0.99346,0.86879,0.46311,6.54919,0.66639,0.001802,0.001802,0.001802
7,1344.07,0.65447,0.45593,0.98975,0.98696,0.99415,0.99487,0.86983,0.48041,4.25881,0.68809,0.0017624,0.0017624,0.0017624
8,1534.73,0.64747,0.4418,0.98921,0.97388,0.98499,0.9931,0.84395,0.50116,2.16458,0.67981,0.0017228,0.0017228,0.0017228
9,1727.2,0.64633,0.42172,0.98745,0.92646,0.96623,0.98213,0.79226,0.58203,1.97061,0.7364,0.0016832,0.0016832,0.0016832
10,1918.14,0.64488,0.43399,0.98896,0.99315,0.98311,0.99379,0.8317,0.55218,5.04,0.71107,0.0016436,0.0016436,0.0016436
11,2109.82,0.62675,0.40042,0.98016,0.97396,0.98244,0.9921,0.85809,0.48381,1.27705,0.67669,0.001604,0.001604,0.001604
12,2300.38,0.61648,0.39334,0.97313,0.99194,0.9925,0.99421,0.88249,0.45196,1.08872,0.66252,0.0015644,0.0015644,0.0015644
13,2490.28,0.61152,0.38124,0.97772,0.94626,0.95812,0.98738,0.83749,0.49081,1.61678,0.69355,0.0015248,0.0015248,0.0015248
14,2682,0.60532,0.37865,0.97313,0.77983,0.72795,0.81968,0.4743,0.96309,1.81961,1.13768,0.0014852,0.0014852,0.0014852
15,2873.35,0.60699,0.38,0.97308,0.8754,0.90994,0.92884,0.79137,0.48288,5.09498,0.70004,0.0014456,0.0014456,0.0014456
16,3064.29,0.58511,0.35393,0.97139,0.98248,0.95872,0.98729,0.83946,0.49122,0.70708,0.69548,0.001406,0.001406,0.001406
17,3253.78,0.58204,0.34843,0.95798,1,0.99992,0.995,0.88683,0.41371,0.83973,0.63587,0.0013664,0.0013664,0.0013664
18,3452.53,0.58372,0.35253,0.95728,0.99454,0.99625,0.99496,0.87195,0.44275,0.87399,0.65189,0.0013268,0.0013268,0.0013268
19,3647.46,0.58623,0.35226,0.96749,0.98502,0.98671,0.99457,0.89381,0.4186,0.65609,0.64243,0.0012872,0.0012872,0.0012872
20,3838.12,0.57314,0.34073,0.96173,0.99291,0.99812,0.9947,0.87748,0.42211,0.54771,0.64431,0.0012476,0.0012476,0.0012476
21,4029.05,0.5784,0.33375,0.96086,0.99789,0.99812,0.99494,0.88922,0.4392,0.64766,0.65089,0.001208,0.001208,0.001208
