epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.531,1.51467,3.10785,1.40732,0.00393,0.78539,0.59567,0.33284,1.24516,8.73954,1.39417,0.00058,0.00058,0.00058
2,286.811,1.4591,2.17273,1.34962,0.17897,0.18721,0.09554,0.02726,1.93001,32.2289,4.50866,0.00115664,0.00115664,0.00115664
3,432.546,1.49066,2.01197,1.41463,0.48673,0.3653,0.34678,0.14936,2.26325,30.6775,2.70819,0.00170951,0.00170951,0.00170951
4,578.954,1.51834,1.83676,1.47471,0.45741,0.42466,0.37127,0.16351,2.39726,29.9409,2.64186,0.0018812,0.0018812,0.0018812
5,725.143,1.4195,1.626,1.38254,0.44827,0.52511,0.44772,0.20838,2.48014,19.0443,2.90667,0.0018416,0.0018416,0.0018416
6,871.248,1.38388,1.46212,1.35386,0.23655,0.16895,0.09028,0.02805,2.71987,10.7126,3.04667,0.001802,0.001802,0.001802
7,1017.14,1.4033,1.37541,1.34433,0.2193,0.24658,0.13462,0.04132,2.3683,14.3806,2.88011,0.0017624,0.0017624,0.0017624
8,1163.14,1.29564,1.23765,1.26824,0.8831,0.62091,0.66402,0.3793,2.13599,10.8851,2.18323,0.0017228,0.0017228,0.0017228
9,1309.09,1.32472,1.26211,1.27373,0.7141,0.61587,0.67097,0.37128,1.68378,16.7091,1.88027,0.0016832,0.0016832,0.0016832
10,1455.03,1.28794,1.17319,1.26599,0.66882,0.52055,0.55966,0.2266,2.4791,7.42154,2.66264,0.0016436,0.0016436,0.0016436
11,1601.93,1.30438,1.07956,1.26215,0.74315,0.61187,0.6428,0.2876,2.05703,4.58224,2.24045,0.001604,0.001604,0.001604
12,1748.08,1.31809,1.09214,1.29346,0.72538,0.60307,0.6153,0.32444,1.89542,5.67679,1.96632,0.0015644,0.0015644,0.0015644
13,1894.14,1.24463,1.05199,1.23108,0.75526,0.63927,0.67419,0.38616,1.67122,3.22587,1.64055,0.0015248,0.0015248,0.0015248
14,2040.49,1.17926,0.93981,1.19877,0.73474,0.57078,0.58624,0.32005,1.74196,2.97509,1.68208,0.0014852,0.0014852,0.0014852
15,2186.09,1.14292,0.9239,1.17659,0.84585,0.6621,0.71795,0.3754,1.72528,5.90824,1.79202,0.0014456,0.0014456,0.0014456
16,2331.89,1.0933,0.89991,1.15791,0.81124,0.68684,0.72898,0.45256,1.58345,2.44243,1.60619,0.001406,0.001406,0.001406
17,2477.57,1.14603,0.87011,1.17402,0.91857,0.72146,0.77093,0.51314,1.5995,2.73219,1.58463,0.0013664,0.0013664,0.0013664
18,2623.76,1.08226,0.8283,1.14322,0.89336,0.65034,0.73742,0.48544,1.89257,3.93563,1.92438,0.0013268,0.0013268,0.0013268
19,2768.87,1.07343,0.79265,1.15942,0.89181,0.68493,0.73522,0.36001,1.92522,2.33598,1.84261,0.0012872,0.0012872,0.0012872
20,2913.9,1.03196,0.78104,1.12061,0.85097,0.62575,0.69648,0.33952,2.01972,3.23567,1.84302,0.0012476,0.0012476,0.0012476
21,3059.44,1.02762,0.74891,1.11322,0.86391,0.69863,0.71905,0.38753,1.84355,6.7839,1.92499,0.001208,0.001208,0.001208
22,3205.44,1.03616,0.74537,1.1147,0.86684,0.6621,0.72194,0.41531,1.51535,3.45414,1.55194,0.0011684,0.0011684,0.0011684
23,3350.91,1.05051,0.74191,1.11857,0.91173,0.66031,0.74142,0.46297,1.68962,2.39485,1.73437,0.0011288,0.0011288,0.0011288
24,3496.41,0.99849,0.71776,1.10801,0.80176,0.61187,0.68605,0.34172,1.89172,3.04328,1.89003,0.0010892,0.0010892,0.0010892
25,3641.64,1.04887,0.74431,1.12758,0.85895,0.69406,0.75051,0.42959,1.77778,2.12061,1.79144,0.0010496,0.0010496,0.0010496
26,3787.19,0.93923,0.68145,1.0779,0.89935,0.69359,0.76462,0.48928,1.59004,3.41098,1.66134,0.00101,0.00101,0.00101
